"prolific_id","acc_chasing_30"
"558fa9dffdf99b7ce2924662","84%"
"59402f40e9b44100013b1789","91%"
"594fa525f61b8e00016af178","69%"
"59664cebaf78da0001a22b4a","75%"
"5acb55010527ba0001c25592","84%"
"5b06ebe96f73510001fdb40e","94%"
"5bc4784e85214800017d8c1a","94%"
"5bca705b3d893f0001bf027d","91%"
"5bd781291fd7c80001bb1fad","94%"
"5bed50471f9cac0001734381","88%"
"5c04e3a04e1b7b00016ad9a3","91%"
"5c1550c32b16ba0001c95536","94%"
"5c2e15a5da51990001e446e0","91%"
"5c3f8bdf342ae0000111a3e1","75%"
"5c4318404d76b1000173d466","84%"
"5c549c6372fd9000018b5968","88%"
"5c716c2a7019c80001f35d9c","84%"
"5c71b17c891e3200012477a2","81%"
"5c90f5eae2d9fb0011385c58","91%"
"5ccff7a28c978d00177c5a71","91%"
"5ce47ee4209b8a00166e39ca","66%"
"5d25fd6e062efa0001833f04","94%"
"5d678b1609288100014849e8","91%"
"5d6bc6e499cd42001855fdf1","88%"
"5d77bc0a4503c30001c724b8","84%"
"5d7a275ae1980f0018725396","81%"
"5d891cd0a592de000185ca5b","75%"
"5db20e14aa1295000bd72015","78%"
"5def67a45c91a4000ef4739c","94%"
"5e45ad5adb671e0952ec6b86","94%"
"5e4940cc4cc99d3ad7baa236","72%"
"5e820827a0271f9119616fb8","72%"
"5e8783b0fde5153fbd9dca43","88%"
"5e9774d2837b810ebe32666e","94%"
"5e99da3ea467ef04d870e7a9","78%"
"5ea1965fc546e204bb568292","81%"
"5ea35bb82788e52de5e56b85","91%"
"5ea5ce7be9fb245c8d7deded","88%"
"5ea967689a2c7e0580282cca","94%"
"5eb28a3b9d99fc3dfffe4666","88%"
"5ebd3bbcecfc7d00085d0f9e","84%"
"5ec57530f348315719a6777f","81%"
"5ecc7b15ce3f4185e01acd04","72%"
"5ecd36c112aedc06518bd20a","66%"
"5ed2c4fe85676325a891de20","91%"
"5ed896a6b9f9f63aa5a75bc7","81%"
"5ede13094e77400127b0d8ac","84%"
"5eeb9d68ce7e763425ce2a8a","84%"
"5ef4860d22eb1d04bbcd9586","66%"
"5ef67612126bfa36576e1b03","81%"
"5f011910f1a82a26078ed6dd","88%"
"5f0214e58782120a8c970fd6","94%"
"5f338ba6ea047119dbd6e49e","100%"
"5f4155308b19382e4374df9f","91%"
"5f454ee36eaa951147ea3cb4","94%"
"5f4e7c5027d2a00631b19618","69%"
"5f4ec827c4909710bd484f3d","97%"
"5f563f5b79ddd10221fc7452","72%"
"5f578563765fec223eb51594","69%"
"5f5929c79792911399444356","75%"
"5f5b5881b17fa72756b8ff2a","50%"
"5f5c6c1652a92144dd9200ab","91%"
"5f7f239e9b204e05b6c36538","62%"
"5f9fcdb126b31261ba2364d8","47%"
"5fa15b45d6bf96229b16ca26","91%"
"5fa2778b2a444243cc61d9d8","50%"
"5fcca076e2e6deaf9f1055d7","88%"
"600590fcb602617e4e62e8c8","88%"
"60087f89ba0c184c6d305af9","84%"
"6010601cc932aa3661b459ec","94%"
"60113374795b0d000a98b896","44%"
"601575a1d735b36214c75f67","50%"
"601beff593007e61bdbdbdfc","84%"
"601dce9614595f204440da8f","84%"
"602d84ab3b8daf7e896ab146","78%"
"603235aece008c1eeab094fc","75%"
"604078ce258745279c0a0fed","84%"
"60407c013b795828d5280016","88%"
"604b528b95d6d998726f0bd9","81%"
"60571cc4ed2b0367b3e273b8","91%"
"605b838b80f022835fc293fb","53%"
"60725a51a6e4cf1831918847","56%"
"607477e95809f0c7fdc4d1f3","91%"
"607583e0c86113a48cbdc1e2","75%"
"6075f686075b047b4912896f","50%"
"60814ca10e453404aed130ea","91%"
"608930a9d426b23a7b53c710","88%"
"6099331dd68e8681d2c562ca","81%"
"609ae18d591adde470e996cc","78%"
"609d1db6e6624a23a8f99f0d","53%"
"60c1ea75ebea3c2153bb14fa","78%"
"60ca1c436511b9fc8ab35615","94%"
"60ccf2ea70e16324c450f531","78%"
"60d0913db036105dac42f0cc","97%"
"60dae077e62179eb469e32a4","97%"
"60db74fcb5f4526ce90594a1","72%"
"60e343a81a1fccbf93aa26e7","50%"
"60e9c7d6324bb82ccb1357e4","91%"
"60ed422f77c903379187954a","38%"
"60ed8d47a42dc5469f868b2a","69%"
"60ef2e52a188d9859f92bb58","84%"
"60f447a41f39e3b469f68f1e","75%"
"60f55467b3c1a738550ccd27","88%"
"60f958dea810a7a0cf3d14d9","50%"
"60faab6f9d9a835ba3b8327f","91%"
"60fbf828aa685c5d5fdc8dab","53%"
"60fd6891508b1a5f090f6337","78%"
"60ff9740c0716986284c41b3","91%"
"6102db96d41a4bf54acd678b","88%"
"610510ea2417b82e9a9b546c","75%"
"61086c2bfda98ba5d75b9db4","88%"
"6109262ae67d0b1d5ae85544","84%"
"6109b425508d9c8b84947e28","66%"
"6113e818f20ae6af8f92fc59","78%"
"61155c65e2f4511fd06bab01","84%"
"611cf79541223a8ee170a30f","59%"
"611d0249e8393016043b13c5","69%"
"611d1134bcc4eda812acf219","81%"
"611d3a09fcbb58f515c4bd0d","91%"
"611e662627fe84ce145a07cc","88%"
"611e69199102a9ea07155a4e","97%"
"611e8fbfd3f7c080df933947","66%"
"611ea1a15dbc12b56d64fd22","53%"
"611f5fca1c852d6d56e5bf8d","78%"
"61216c57c465b4c0b056f277","50%"
"612364605c7b6d1e7ba7b4f3","56%"
"6124ce846b7b3c7bab41bbb5","56%"
"612501bc1d444bcf3be30902","78%"
"61274c5d48457b27bb106961","59%"
"6128b6f850d39bf85a29211e","88%"
"6128bd8212d9c49351e1c453","88%"
"612a27c64944d23ec0408cd2","75%"
"612cb8236aa1cef2599e6f59","84%"
"612fd3da400557b971d45724","69%"
"6130cabbaf487a833fd4aebd","84%"
"6131da4d35598b1a6f36cb37","50%"
"61320a26c3013321c8d54600","50%"
