prolific_id,n_hit,n_fa,n_miss,n_cr,dprime,beta,aprime,bppd,c
558fa9dffdf99b7ce2924662,14,0,2,16,2.938641358,3.437641411,0.96875,1,0.420189281
59402f40e9b44100013b1789,13,0,3,16,2.710302049,4.255763232,0.953125,1,0.534358936
594fa525f61b8e00016af178,9,6,7,10,0.44729402,1.034421384,0.658333333,0.024390244,0.0756599
59664cebaf78da0001a22b4a,15,2,1,14,2.400833638,0.695439591,0.948809524,-0.302325581,-0.151285421
5acb55010527ba0001c25592,16,0,0,16,3.779019921,1,1,1,3.33E-16
5b06ebe96f73510001fdb40e,13,0,3,16,2.710302049,4.255763232,0.953125,0.444444444,0.534358936
5bc4784e85214800017d8c1a,16,0,0,16,3.779019921,1,1,-1,3.33E-16
5bca705b3d893f0001bf027d,13,1,3,15,2.172494328,1.780153589,0.930769231,1,0.265455076
5bd781291fd7c80001bb1fad,16,1,0,15,3.2412122,0.418292441,0.984375,-0.302325581,-0.26890386
5bed50471f9cac0001734381,15,0,1,16,3.2412122,2.390671939,0.984375,0.302325581,0.26890386
5c04e3a04e1b7b00016ad9a3,15,2,1,14,2.400833638,0.695439591,0.948809524,1,-0.151285421
5c1550c32b16ba0001c95536,14,1,2,15,2.400833638,1.437939416,0.948809524,0.615384615,0.151285421
5c2e15a5da51990001e446e0,13,0,3,16,2.710302049,4.255763232,0.953125,1,0.534358936
5c3f8bdf342ae0000111a3e1,9,1,7,15,1.49968935,2.466004872,0.855555556,1,0.601857565
5c4318404d76b1000173d466,16,0,0,16,3.779019921,1,1,1,3.33E-16
5c549c6372fd9000018b5968,14,0,2,16,2.938641358,3.437641411,0.96875,1,0.420189281
5c716c2a7019c80001f35d9c,13,0,3,16,2.710302049,4.255763232,0.953125,1,0.534358936
5c71b17c891e3200012477a2,16,0,0,16,3.779019921,1,1,1,3.33E-16
5c90f5eae2d9fb0011385c58,15,0,1,16,3.2412122,2.390671939,0.984375,0.164179104,0.26890386
5ccff7a28c978d00177c5a71,15,0,1,16,3.2412122,2.390671939,0.984375,1,0.26890386
5ce47ee4209b8a00166e39ca,11,0,5,16,2.347361891,5.367218208,0.921875,1,0.715829015
5d25fd6e062efa0001833f04,16,0,0,16,3.779019921,1,1,-0.302325581,3.33E-16
5d678b1609288100014849e8,16,0,0,16,3.779019921,1,1,1,3.33E-16
5d6bc6e499cd42001855fdf1,16,0,0,16,3.779019921,1,1,1,3.33E-16
5d77bc0a4503c30001c724b8,14,0,2,16,2.938641358,3.437641411,0.96875,0.302325581,0.420189281
5d7a275ae1980f0018725396,13,2,3,14,1.869923486,1.237989285,0.907967033,-1,0.114169655
5d891cd0a592de000185ca5b,10,0,6,16,2.188816871,5.699233156,0.90625,-1,0.795101525
5db20e14aa1295000bd72015,14,0,2,16,2.938641358,3.437641411,0.96875,-0.212121212,0.420189281
5def67a45c91a4000ef4739c,15,2,1,14,2.400833638,0.695439591,0.948809524,-1,-0.151285421
5e45ad5adb671e0952ec6b86,15,0,1,16,3.2412122,2.390671939,0.984375,1,0.26890386
5e4940cc4cc99d3ad7baa236,13,0,3,16,2.710302049,4.255763232,0.953125,1,0.534358936
5e820827a0271f9119616fb8,14,1,2,15,2.400833638,1.437939416,0.948809524,-1,0.151285421
5e8783b0fde5153fbd9dca43,16,3,0,13,2.710302049,0.234975478,0.953125,1,-0.534358936
5e9774d2837b810ebe32666e,16,1,0,15,3.2412122,0.418292441,0.984375,1,-0.26890386
5e99da3ea467ef04d870e7a9,13,6,3,10,1.120098999,0.746725588,0.809615385,-0.444444444,-0.260742589
5ea1965fc546e204bb568292,16,4,0,12,2.518414178,0.204463933,0.9375,-0.302325581,-0.630302871
5ea35bb82788e52de5e56b85,13,0,3,16,2.710302049,4.255763232,0.953125,1,0.534358936
5ea5ce7be9fb245c8d7deded,15,0,1,16,3.2412122,2.390671939,0.984375,0,0.26890386
5ea967689a2c7e0580282cca,16,1,0,15,3.2412122,0.418292441,0.984375,1,-0.26890386
5eb28a3b9d99fc3dfffe4666,16,0,0,16,3.779019921,1,1,-0.302325581,3.33E-16
5ebd3bbcecfc7d00085d0f9e,14,0,2,16,2.938641358,3.437641411,0.96875,-1,0.420189281
5ec57530f348315719a6777f,15,0,1,16,3.2412122,2.390671939,0.984375,-1,0.26890386
5ecc7b15ce3f4185e01acd04,15,3,1,13,2.172494328,0.561749282,0.930769231,1,-0.265455076
5ecd36c112aedc06518bd20a,15,2,1,14,2.400833638,0.695439591,0.948809524,1,-0.151285421
5ed2c4fe85676325a891de20,16,0,0,16,3.779019921,1,1,-1,3.33E-16
5ed896a6b9f9f63aa5a75bc7,13,0,3,16,2.710302049,4.255763232,0.953125,0.615384615,0.534358936
5ede13094e77400127b0d8ac,15,1,1,15,2.70340448,1,0.966666667,1,0
5eeb9d68ce7e763425ce2a8a,15,0,1,16,3.2412122,2.390671939,0.984375,-0.164179104,0.26890386
5ef4860d22eb1d04bbcd9586,15,2,1,14,2.400833638,0.695439591,0.948809524,1,-0.151285421
5ef67612126bfa36576e1b03,16,1,0,15,3.2412122,0.418292441,0.984375,1,-0.26890386
